City,Body_Type,Ownerno,Company,Model,Modelyear,Variantname,Price,Registration_Year,Insurance_Validity,Fuel_Type,Seats,Kms_Driven,Transmission,Year_Of_Manufacture,Engine,Mileage,Age_Old_In_Year
chennai,SUV,1,Kia,Sonet,2022,Turbo DCT,13.955272500339431,2022,Third Party,Petrol,5,20000,Automatic,2022,998,18.3,2
chennai,Minivans,1,Maruti,Eeco,2015,7 Seater,12.936033799212836,2015,Comprehensive,Petrol,7,20687,Manual,2015,1196,15.37,9
chennai,SUV,1,Nissan,Magnite,2021,Turbo XV,13.527828485512494,2021,Third Party,Petrol,5,30000,Manual,2021,999,20.0,3
chennai,Hatchback,1,Hyundai,i10,2015,Sportz,12.894207284266574,2015,Comprehensive,Petrol,5,59247,Manual,2015,1086,19.81,9
chennai,Hatchback,1,Honda,Jazz,2015,1.2 VX,13.217673557208654,2015,Third Party,Petrol,5,50000,Manual,2015,1199,18.7,9
chennai,Sedan,1,Mercedes-Benz,E-Class,2016,E250,15.009433026436708,2017,Comprehensive,Diesel,5,20000,Automatic,2016,2143,13.0,7
chennai,Hatchback,1,Maruti,Celerio,2016,ZXI,13.023647404465173,2016,Comprehensive,Petrol,5,29403,Automatic,2016,998,23.1,8
chennai,Hatchback,1,Maruti,A-Star,2010,ZXI,12.560244459250788,2010,Comprehensive,Petrol,5,42700,Manual,2010,998,19.0,14
chennai,SUV,1,BMW,X3,2018,xDrive,15.424948470398377,2018,Comprehensive,Diesel,5,23001,Automatic,2018,1995,16.55,6
chennai,SUV,2,Ford,Ecosport,2018,1.5 Petrol,13.618278388434565,2018,Comprehensive,Petrol,5,25925,Automatic,2018,1497,14.8,6
chennai,Hatchback,1,Hyundai,i20,2021,Asta,13.670484785914017,2021,Third Party,Petrol,5,20000,Manual,2021,1197,21.0,3
chennai,Hatchback,1,Honda,Jazz,2019,VX CVT,13.582316670796564,2019,Comprehensive,Petrol,5,17711,Automatic,2019,1199,18.2,5
chennai,Sedan,1,BMW,3 Series,2020,320d Luxury,15.21422743908272,2020,Comprehensive,Diesel,5,50000,Automatic,2020,1995,20.37,4
chennai,Hatchback,1,Maruti,Swift,2018,VXI,13.321214236149494,2018,Third Party,Petrol,5,50000,Manual,2018,1197,22.0,6
chennai,Hatchback,2,Hyundai,Grand i10,2018,1.2 Kappa,13.14412486918584,2019,Comprehensive,Petrol,5,51125,Manual,2018,1197,18.9,5
chennai,SUV,1,Tata,Nexon,2019,1.5 Revotorq,13.473020249017498,2019,Comprehensive,Diesel,5,69233,Manual,2019,1497,21.5,5
chennai,SUV,1,Jeep,Compass,2017,2.0 Sport,14.018451401960965,2017,Comprehensive,Diesel,5,65000,Manual,2017,1956,17.1,7
chennai,Sedan,1,Honda,City,2014,i VTEC,13.253391639810731,2014,Comprehensive,Petrol,5,93281,Manual,2014,1497,17.4,10
chennai,SUV,1,Toyota,Fortuner,2022,4x2,15.176487111099874,2022,Comprehensive,Diesel,7,18000,Manual,2022,2755,14.24,2
chennai,Sedan,2,Honda,Amaze,2014,E i-,12.834681304952548,2014,Comprehensive,Petrol,5,99225,Manual,2014,1198,18.0,10
chennai,Hatchback,1,Hyundai,EON,2016,Era,12.524526376648708,2016,Third Party,Petrol,5,30000,Manual,2016,998,20.3,8
chennai,Sedan,1,Honda,Amaze,2014,S i-Vtech,12.969212197910156,2014,Comprehensive,Petrol,5,30602,Manual,2014,1198,18.0,10
chennai,Hatchback,1,Maruti,Swift,2018,VDI,13.422467969854669,2018,Comprehensive,Diesel,5,64500,Manual,2018,1248,25.2,6
chennai,Sedan,2,Honda,City,2017,i VTEC,13.583578500616984,2017,Comprehensive,Petrol,5,46809,Manual,2017,1497,17.8,7
chennai,SUV,1,Tata,Nexon EV,2020,XZ,13.9108207377686,2020,Third Party,Electric,5,20000,Automatic,2020,0,27.28,4
chennai,SUV,1,Hyundai,Creta,2019,CRDi,14.169682371684887,2019,Comprehensive,Diesel,5,20000,Automatic,2019,1582,17.01,5
